Model,Accuracy,Precision,Recall,F1,Binary FNR
Random Forest,0.9937421646468868,0.9350497837267667,0.9545594285270559,0.9443149424460018,0.0026848320025023675
AdaBoost,0.9912452987881321,0.8792476739666493,0.892274150717153,0.8850739604026788,0.0048830925094056005
Bagging,0.993083994985374,0.910507752236677,0.953584393850049,0.9287936852433193,0.002519745245066947
Ensemble,0.9946667363142498,0.9325569354982088,0.9528210696796965,0.9420640696753967,0.002696417038111871
